component,context,state,kind,subkind,requirement,threshold,ratio,verdict,project_bar_3,element,fg_token,fg_rendered,bg_token,bg_rendered,font_px,font_weight,large,count,fg_chain,bg_chain,path,text
accordion,light,default,non-text,border,informational,,1.23,INFO,FAIL,onyx-accordion border,--ui-accordion-border,#e2e8f0,--ui-color-surface,#ffffff,,,,2,--ui-accordion-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-accordion.ui-accordion,
accordion,light,default,non-text,border-b,informational,,1.23,INFO,FAIL,onyx-accordion › onyx-accordion-item.ui-accordion-item border-b,--ui-accordion-border,#e2e8f0,--ui-color-surface,#ffffff,,,,3,--ui-accordion-border → --ui-color-border → --ui-slate-200 → #e2e8f0,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item,
accordion,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-accordion › span.ui-accordion-item__label,--ui-accordion-header-text,#0f172a,--ui-color-surface,#ffffff,16,600,false,5,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__label,Shipping
accordion,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-accordion › span.ui-accordion-item__icon,--ui-accordion-header-text,#0f172a,--ui-color-surface,#ffffff,16,600,false,5,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__icon,›
accordion,light,default,text,text,required,4.5,17.85,PASS,PASS,onyx-accordion › div.ui-accordion-item__body,--ui-accordion-panel-text,#0f172a,--ui-color-surface,#ffffff,15,400,false,5,--ui-accordion-panel-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > div.ui-accordion-item__panel > div.ui-accordion-item__body,"Free over $50, 2–4 business days."
accordion,light,focus,non-text,focus-ring,required,3,5.17,PASS,PASS,onyx-accordion › button.ui-accordion-item__trigger focus-ring/box-shadow,--ui-focus-ring,#2563eb,--ui-color-surface,#ffffff,,,,1,--ui-focus-ring → --ui-color-primary → --ui-blue-500 → #2563eb,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger,
accordion,light,hover,text,text,required,4.5,16.4,PASS,PASS,onyx-accordion › span.ui-accordion-item__label,--ui-accordion-header-text,#0f172a,--ui-accordion-header-bg-hover,#eff6ff,16,600,false,1,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__label,Shipping
accordion,light,hover,text,text,required,4.5,16.4,PASS,PASS,onyx-accordion › span.ui-accordion-item__icon,--ui-accordion-header-text,#0f172a,--ui-accordion-header-bg-hover,#eff6ff,16,600,false,1,--ui-accordion-header-text → --ui-color-text → --ui-slate-900 → #0f172a,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__icon,›
accordion,light,hover,non-text,box,informational,,1.09,INFO,FAIL,onyx-accordion › button.ui-accordion-item__trigger box,--ui-accordion-header-bg-hover,#eff6ff,--ui-color-surface,#ffffff,,,,1,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-blue-50 → #eff6ff,--ui-color-surface → --ui-white → #ffffff,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger,
accordion,dark,default,non-text,border,informational,,1.72,INFO,FAIL,onyx-accordion border,--ui-accordion-border,#334155,--ui-color-surface,#0f172a,,,,2,--ui-accordion-border → --ui-color-border → --ui-slate-700 → #334155,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion.ui-accordion,
accordion,dark,default,non-text,border-b,informational,,1.72,INFO,FAIL,onyx-accordion › onyx-accordion-item.ui-accordion-item border-b,--ui-accordion-border,#334155,--ui-color-surface,#0f172a,,,,3,--ui-accordion-border → --ui-color-border → --ui-slate-700 → #334155,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion-item.ui-accordion-item,
accordion,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-accordion › span.ui-accordion-item__label,--ui-accordion-header-text,#f8fafc,--ui-color-surface,#0f172a,16,600,false,5,--ui-accordion-header-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__label,Shipping
accordion,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-accordion › span.ui-accordion-item__icon,--ui-accordion-header-text,#f8fafc,--ui-color-surface,#0f172a,16,600,false,5,--ui-accordion-header-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__icon,›
accordion,dark,default,text,text,required,4.5,17.06,PASS,PASS,onyx-accordion › div.ui-accordion-item__body,--ui-accordion-panel-text,#f8fafc,--ui-color-surface,#0f172a,15,400,false,5,--ui-accordion-panel-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion-item.ui-accordion-item > div.ui-accordion-item__panel > div.ui-accordion-item__body,"Free over $50, 2–4 business days."
accordion,dark,focus,non-text,focus-ring,required,3,9.29,PASS,PASS,onyx-accordion › button.ui-accordion-item__trigger focus-ring/box-shadow,--ui-focus-ring,#34d399,--ui-color-surface,#0f172a,,,,1,--ui-focus-ring → --ui-emerald-400 → #34d399,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger,
accordion,dark,hover,text,text,required,4.5,13.98,PASS,PASS,onyx-accordion › span.ui-accordion-item__label,--ui-accordion-header-text,#f8fafc,--ui-accordion-header-bg-hover,#1e293b,16,600,false,1,--ui-accordion-header-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-slate-800 → #1e293b,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__label,Shipping
accordion,dark,hover,text,text,required,4.5,13.98,PASS,PASS,onyx-accordion › span.ui-accordion-item__icon,--ui-accordion-header-text,#f8fafc,--ui-accordion-header-bg-hover,#1e293b,16,600,false,1,--ui-accordion-header-text → --ui-color-text → --ui-slate-50 → #f8fafc,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-slate-800 → #1e293b,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger > span.ui-accordion-item__icon,›
accordion,dark,hover,non-text,box,informational,,1.22,INFO,FAIL,onyx-accordion › button.ui-accordion-item__trigger box,--ui-accordion-header-bg-hover,#1e293b,--ui-color-surface,#0f172a,,,,1,--ui-accordion-header-bg-hover → --ui-color-surface-hover → --ui-slate-800 → #1e293b,--ui-color-surface → --ui-slate-900 → #0f172a,onyx-accordion-item.ui-accordion-item > h3.ui-accordion-item__heading > button.ui-accordion-item__trigger,
